"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"CLM75_RS13440","CLM75_RS13440","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13440","CLM75_RS13440","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13460","CLM75_RS13460","hypothetical protein","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.260.40","PMID:24451626"
"CLM75_RS13465","CLM75_RS13465","AAA family ATPase","Pseudomonas lurida MYb11","GO:0140664","ATP-dependent DNA damage sensor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF13476","PMID:24451626"
"CLM75_RS13465","CLM75_RS13465","AAA family ATPase","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF13304","PMID:24451626"
"CLM75_RS13465","CLM75_RS13465","AAA family ATPase","Pseudomonas lurida MYb11","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF13304","PMID:24451626"
"CLM75_RS13465","CLM75_RS13465","AAA family ATPase","Pseudomonas lurida MYb11","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF13304","PMID:24451626"
"CLM75_RS13470","CLM75_RS13470","dehydrogenase","Pseudomonas lurida MYb11","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05199","PMID:24451626"
"CLM75_RS13470","CLM75_RS13470","dehydrogenase","Pseudomonas lurida MYb11","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11552","PMID:24451626"
"CLM75_RS13475","CLM75_RS13475","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13475","CLM75_RS13475","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13475","CLM75_RS13475","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13490","CLM75_RS13490","ACP phosphodiesterase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF03358","PMID:24451626"
"CLM75_RS13495","CLM75_RS13495","carbamoyltransferase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02543","PMID:24451626"
"CLM75_RS13495","CLM75_RS13495","carbamoyltransferase","Pseudomonas lurida MYb11","GO:0009058","biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02543","PMID:24451626"
"CLM75_RS13505","CLM75_RS13505","glycoside hydrolase","Pseudomonas lurida MYb11","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00722","PMID:24451626"
"CLM75_RS13505","CLM75_RS13505","glycoside hydrolase","Pseudomonas lurida MYb11","GO:0005975","carbohydrate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00722","PMID:24451626"
"CLM75_RS13515","CLM75_RS13515","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13515","CLM75_RS13515","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13515","CLM75_RS13515","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13520","CLM75_RS13520","CoA transferase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02515","PMID:24451626"
"CLM75_RS13525","CLM75_RS13525","CoA ester lyase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF03328","PMID:24451626"
"CLM75_RS13530","CLM75_RS13530","TetR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00455","PMID:24451626"
"CLM75_RS13535","CLM75_RS13535","3-hydroxybutyryl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0006631","fatty acid metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000105","PMID:24451626"
"CLM75_RS13535","CLM75_RS13535","3-hydroxybutyryl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000105","PMID:24451626"
"CLM75_RS13535","CLM75_RS13535","3-hydroxybutyryl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0070403","NAD+ binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000105","PMID:24451626"
"CLM75_RS13535","CLM75_RS13535","3-hydroxybutyryl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.1040.10","PMID:24451626"
"CLM75_RS13540","CLM75_RS13540","ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00005","PMID:24451626"
"CLM75_RS13540","CLM75_RS13540","ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0015658","branched-chain amino acid transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039137","PMID:24451626"
"CLM75_RS13540","CLM75_RS13540","ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0015803","branched-chain amino acid transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039137","PMID:24451626"
"CLM75_RS13545","livG","high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00005","PMID:24451626"
"CLM75_RS13550","livM","high-affinity branched-chain amino acid ABC transporter permease LivM","Pseudomonas lurida MYb11","GO:0015658","branched-chain amino acid transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30482","PMID:24451626"
"CLM75_RS13550","livM","high-affinity branched-chain amino acid ABC transporter permease LivM","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02653","PMID:24451626"
"CLM75_RS13550","livM","high-affinity branched-chain amino acid ABC transporter permease LivM","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02653","PMID:24451626"
"CLM75_RS13550","livM","high-affinity branched-chain amino acid ABC transporter permease LivM","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02653","PMID:24451626"
"CLM75_RS13555","CLM75_RS13555","high-affinity branched-chain amino acid ABC transporter permease LivH","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02653","PMID:24451626"
"CLM75_RS13555","CLM75_RS13555","high-affinity branched-chain amino acid ABC transporter permease LivH","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02653","PMID:24451626"
"CLM75_RS13555","CLM75_RS13555","high-affinity branched-chain amino acid ABC transporter permease LivH","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02653","PMID:24451626"
"CLM75_RS13560","CLM75_RS13560","CoA transferase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02515","PMID:24451626"
"CLM75_RS13570","CLM75_RS13570","CoA ester lyase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF51621","PMID:24451626"
"CLM75_RS13575","CLM75_RS13575","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00866","PMID:24451626"
"CLM75_RS13575","CLM75_RS13575","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00866","PMID:24451626"
"CLM75_RS13575","CLM75_RS13575","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00866","PMID:24451626"
"CLM75_RS13575","CLM75_RS13575","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00392","PMID:24451626"
"CLM75_RS13580","CLM75_RS13580","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:2.40.110.10","PMID:24451626"
"CLM75_RS13580","CLM75_RS13580","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.540.10","PMID:24451626"
"CLM75_RS13585","CLM75_RS13585","leucine ABC transporter subunit substrate-binding protein LivK","Pseudomonas lurida MYb11","GO:0006865","amino acid transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00337","PMID:24451626"
"CLM75_RS13590","CLM75_RS13590","hypothetical protein","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00032","PMID:24451626"
"CLM75_RS13590","CLM75_RS13590","hypothetical protein","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00032","PMID:24451626"
"CLM75_RS13590","CLM75_RS13590","hypothetical protein","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00032","PMID:24451626"
"CLM75_RS13590","CLM75_RS13590","hypothetical protein","Pseudomonas lurida MYb11","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00342","PMID:24451626"
"CLM75_RS13595","CLM75_RS13595","cyclase","Pseudomonas lurida MYb11","GO:0004061","arylformamidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04199","PMID:24451626"
"CLM75_RS13595","CLM75_RS13595","cyclase","Pseudomonas lurida MYb11","GO:0019441","tryptophan catabolic process to kynurenine","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04199","PMID:24451626"
"CLM75_RS13600","CLM75_RS13600","methylaspartate ammonia-lyase","Pseudomonas lurida MYb11","GO:0050096","methylaspartate ammonia-lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01502","PMID:24451626"
"CLM75_RS13605","CLM75_RS13605","succinate-semialdehyde dehydrogenase","Pseudomonas lurida MYb11","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.40.309.10","PMID:24451626"
"CLM75_RS13605","CLM75_RS13605","succinate-semialdehyde dehydrogenase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF53720","PMID:24451626"
"CLM75_RS13610","CLM75_RS13610","Lrp/AsnC family transcriptional regulator","Pseudomonas lurida MYb11","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00033","PMID:24451626"
"CLM75_RS13615","CLM75_RS13615","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13615","CLM75_RS13615","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13615","CLM75_RS13615","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13620","CLM75_RS13620","choline dehydrogenase","Pseudomonas lurida MYb11","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05199","PMID:24451626"
"CLM75_RS13620","CLM75_RS13620","choline dehydrogenase","Pseudomonas lurida MYb11","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000137","PMID:24451626"
"CLM75_RS13660","CLM75_RS13660","MFS transporter","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13660","CLM75_RS13660","MFS transporter","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13665","CLM75_RS13665","alpha/beta hydrolase","Pseudomonas lurida MYb11","GO:0016787","hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07859","PMID:24451626"
"CLM75_RS13670","CLM75_RS13670","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13670","CLM75_RS13670","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13670","CLM75_RS13670","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13685","CLM75_RS13685","glycerol dehydrogenase","Pseudomonas lurida MYb11","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000112","PMID:24451626"
"CLM75_RS13685","CLM75_RS13685","glycerol dehydrogenase","Pseudomonas lurida MYb11","GO:0046872","metal ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000112","PMID:24451626"
"CLM75_RS13685","CLM75_RS13685","glycerol dehydrogenase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00465","PMID:24451626"
"CLM75_RS13690","CLM75_RS13690","cyclase family protein","Pseudomonas lurida MYb11","GO:0004061","arylformamidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF102198","PMID:24451626"
"CLM75_RS13690","CLM75_RS13690","cyclase family protein","Pseudomonas lurida MYb11","GO:0019441","tryptophan catabolic process to kynurenine","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF102198","PMID:24451626"
"CLM75_RS13695","CLM75_RS13695","LacI family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd01392","PMID:24451626"
"CLM75_RS13695","CLM75_RS13695","LacI family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd01392","PMID:24451626"
"CLM75_RS13695","CLM75_RS13695","LacI family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd01392","PMID:24451626"
"CLM75_RS13705","CLM75_RS13705","LLM class flavin-dependent oxidoreductase","Pseudomonas lurida MYb11","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF51679","PMID:24451626"
"CLM75_RS13715","CLM75_RS13715","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13715","CLM75_RS13715","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13715","CLM75_RS13715","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13720","CLM75_RS13720","MFS transporter","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13720","CLM75_RS13720","MFS transporter","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13720","CLM75_RS13720","MFS transporter","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF002808","PMID:24451626"
"CLM75_RS13730","CLM75_RS13730","3-hydroxyacyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0006631","fatty acid metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02737","PMID:24451626"
"CLM75_RS13730","CLM75_RS13730","3-hydroxyacyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0070403","NAD+ binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02737","PMID:24451626"
"CLM75_RS13730","CLM75_RS13730","3-hydroxyacyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.1040.10","PMID:24451626"
"CLM75_RS13730","CLM75_RS13730","3-hydroxyacyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00725","PMID:24451626"
"CLM75_RS13735","CLM75_RS13735","3-keto-5-aminohexanoate cleavage protein","Pseudomonas lurida MYb11","GO:0016740","transferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05853","PMID:24451626"
"CLM75_RS13735","CLM75_RS13735","3-keto-5-aminohexanoate cleavage protein","Pseudomonas lurida MYb11","GO:0019475","L-lysine catabolic process to acetate","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05853","PMID:24451626"
"CLM75_RS13740","CLM75_RS13740","MFS transporter","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13740","CLM75_RS13740","MFS transporter","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13745","CLM75_RS13745","altronate dehydratase","Pseudomonas lurida MYb11","GO:0016829","lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04295","PMID:24451626"
"CLM75_RS13750","CLM75_RS13750","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00392","PMID:24451626"
"CLM75_RS13750","CLM75_RS13750","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00392","PMID:24451626"
"CLM75_RS13750","CLM75_RS13750","GntR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00392","PMID:24451626"
"CLM75_RS13760","CLM75_RS13760","MFS transporter","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13760","CLM75_RS13760","MFS transporter","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"CLM75_RS13775","CLM75_RS13775","alkene reductase","Pseudomonas lurida MYb11","GO:0010181","FMN binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR22893","PMID:24451626"
"CLM75_RS13775","CLM75_RS13775","alkene reductase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR22893","PMID:24451626"
"CLM75_RS13785","CLM75_RS13785","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13785","CLM75_RS13785","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13785","CLM75_RS13785","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS13805","CLM75_RS13805","aromatic alcohol reductase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd05259","PMID:24451626"
"CLM75_RS13820","CLM75_RS13820","IS66 family insertion sequence hypothetical protein","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01527","PMID:24451626"
"CLM75_RS13820","CLM75_RS13820","IS66 family insertion sequence hypothetical protein","Pseudomonas lurida MYb11","GO:0004803","transposase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01527","PMID:24451626"
"CLM75_RS13820","CLM75_RS13820","IS66 family insertion sequence hypothetical protein","Pseudomonas lurida MYb11","GO:0006313","transposition, DNA-mediated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01527","PMID:24451626"
"CLM75_RS13825","CLM75_RS13825","integrase","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF56349","PMID:24451626"
"CLM75_RS13825","CLM75_RS13825","integrase","Pseudomonas lurida MYb11","GO:0006310","DNA recombination","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.443.10","PMID:24451626"
"CLM75_RS13825","CLM75_RS13825","integrase","Pseudomonas lurida MYb11","GO:0015074","DNA integration","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.443.10","PMID:24451626"
